TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
3919,1,79,1,0.98,0.0125,0.9997448979591836,0.5061224489795918,0.5,0.02439024390243903,0.8316996173469389,0.11228564712908384,0.5,0.02,0,logreg,default
3023,897,24,56,0.76975,0.7,0.7711734693877551,0.7355867346938776,0.05876180482686254,0.10842207163601161,0.8297704081632654,0.11199460066230911,0.5,0.02,0,logreg,weight
2831,1089,17,63,0.7235,0.7875,0.7221938775510204,0.7548469387755101,0.0546875,0.10227272727272728,0.806109693877551,0.09626023655677553,0.5,0.02,0,logreg,undersample
3009,911,21,59,0.767,0.7375,0.7676020408163265,0.7525510204081634,0.060824742268041236,0.11238095238095239,0.8331058673469389,0.11394931873557751,0.5,0.02,0,logreg,smote
2584,1336,15,65,0.66225,0.8125,0.6591836734693878,0.7358418367346939,0.046395431834404,0.08777852802160702,0.8316996173469389,0.11228564712908384,0.01228246502178354,0.02,0,logreg,threshold
2629,1291,16,64,0.67325,0.8,0.6706632653061224,0.7353316326530612,0.047232472324723246,0.089198606271777,0.8297704081632654,0.11199460066230911,0.37310914763886394,0.02,0,logreg,weight+threshold
3919,1,79,1,0.98,0.0125,0.9997448979591836,0.5061224489795918,0.5,0.02439024390243903,0.7673836096938775,0.0852322512740536,0.5,0.02,0,rf,default
3918,2,79,1,0.97975,0.0125,0.9994897959183674,0.5059948979591837,0.3333333333333333,0.024096385542168676,0.7663153698979592,0.08457519012875686,0.5,0.02,0,rf,weight
2796,1124,21,59,0.71375,0.7375,0.713265306122449,0.7253826530612245,0.049873203719357564,0.0934283452098179,0.8031839923469387,0.07903926686765224,0.5,0.02,0,rf,undersample
3909,11,79,1,0.9775,0.0125,0.9971938775510204,0.5048469387755102,0.08333333333333333,0.02173913043478261,0.7670998086734694,0.076722796610448,0.5,0.02,0,rf,smote
2676,1244,22,58,0.6835,0.725,0.6826530612244898,0.7038265306122449,0.0445468509984639,0.08393632416787265,0.7673836096938775,0.0852322512740536,0.013333333333333334,0.02,0,rf,threshold
