TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
3041,879,24,56,0.77425,0.7,0.775765306122449,0.7378826530612245,0.059893048128342244,0.1103448275862069,0.8268909438775509,0.11252548165915238,0.5,0.02,0,logreg,focal
3909,11,78,2,0.97775,0.025,0.9971938775510204,0.5110969387755102,0.15384615384615385,0.043010752688172046,0.7731680484693878,0.07453637184409864,0.5,0.02,0,lgb,lgb_default
3824,96,74,6,0.9575,0.075,0.9755102040816327,0.5252551020408164,0.058823529411764705,0.06593406593406594,0.7594610969387756,0.07191158665501551,0.5,0.02,0,lgb,lgb_weight
3829,91,74,6,0.95875,0.075,0.9767857142857143,0.5258928571428572,0.061855670103092786,0.06779661016949153,0.7609279336734694,0.06431264770035959,0.5,0.02,0,lgb,lgb_focal
2742,1178,24,56,0.6995,0.7,0.6994897959183674,0.6997448979591836,0.04538087520259319,0.08523592085235922,0.7731680484693878,0.07453637184409864,0.0027985166965456753,0.02,0,lgb,lgb_threshold
2953,967,20,60,0.75325,0.75,0.7533163265306122,0.7516581632653061,0.05842259006815969,0.10840108401084012,0.8173565051020407,0.11106441762798377,0.5,0.02,1,logreg,focal
3914,6,80,0,0.9785,0.0,0.9984693877551021,0.49923469387755104,0.0,0.0,0.73609375,0.05490179162425654,0.5,0.02,1,lgb,lgb_default
3808,112,71,9,0.95425,0.1125,0.9714285714285714,0.5419642857142857,0.0743801652892562,0.08955223880597014,0.7136383928571429,0.0504580122829032,0.5,0.02,1,lgb,lgb_weight
3805,115,71,9,0.9535,0.1125,0.9706632653061225,0.5415816326530613,0.07258064516129033,0.08823529411764705,0.7159789540816327,0.05441452243475685,0.5,0.02,1,lgb,lgb_focal
2916,1004,32,48,0.741,0.6,0.7438775510204082,0.6719387755102041,0.045627376425855515,0.08480565371024734,0.73609375,0.05490179162425654,0.004760736932693312,0.02,1,lgb,lgb_threshold
2879,1041,16,64,0.73575,0.8,0.7344387755102041,0.7672193877551021,0.0579185520361991,0.1080168776371308,0.8508418367346939,0.12276088237211723,0.5,0.02,2,logreg,focal
3915,5,79,1,0.979,0.0125,0.9987244897959183,0.5056122448979592,0.16666666666666666,0.023255813953488372,0.7843813775510204,0.0745659618097434,0.5,0.02,2,lgb,lgb_default
3797,123,66,14,0.95275,0.175,0.9686224489795918,0.5718112244897959,0.10218978102189781,0.12903225806451613,0.7901849489795919,0.08130148570904686,0.5,0.02,2,lgb,lgb_weight
3797,123,63,17,0.9535,0.2125,0.9686224489795918,0.5905612244897959,0.12142857142857143,0.15454545454545457,0.7916964285714285,0.07890307443317958,0.5,0.02,2,lgb,lgb_focal
3059,861,34,46,0.77625,0.575,0.7803571428571429,0.6776785714285714,0.050716648291069456,0.09321175278622086,0.7843813775510204,0.0745659618097434,0.006935977172508502,0.02,2,lgb,lgb_threshold
2973,947,26,54,0.75675,0.675,0.7584183673469388,0.7167091836734694,0.053946053946053944,0.09990749306197964,0.7892187500000001,0.10598909931386824,0.5,0.02,3,logreg,focal
3917,3,80,0,0.97925,0.0,0.999234693877551,0.4996173469387755,0.0,0.0,0.6959375,0.04576774499681311,0.5,0.02,3,lgb,lgb_default
3817,103,76,4,0.95525,0.05,0.9737244897959184,0.5118622448979592,0.037383177570093455,0.0427807486631016,0.6640784438775511,0.03789856717837573,0.5,0.02,3,lgb,lgb_weight
3827,93,75,5,0.958,0.0625,0.9762755102040817,0.5193877551020408,0.05102040816326531,0.056179775280898875,0.6715051020408163,0.04040050410809506,0.5,0.02,3,lgb,lgb_focal
2112,1808,21,59,0.54275,0.7375,0.5387755102040817,0.6381377551020408,0.03160149973219068,0.06060606060606061,0.6959375,0.04576774499681311,0.0011572208768338894,0.02,3,lgb,lgb_threshold
2968,952,17,63,0.75775,0.7875,0.7571428571428571,0.7723214285714286,0.06206896551724138,0.11506849315068493,0.8617538265306123,0.12468727458172596,0.5,0.02,4,logreg,focal
3912,8,80,0,0.978,0.0,0.9979591836734694,0.4989795918367347,0.0,0.0,0.7985825892857144,0.06374736695610748,0.5,0.02,4,lgb,lgb_default
3838,82,71,9,0.96175,0.1125,0.9790816326530613,0.5457908163265306,0.0989010989010989,0.10526315789473685,0.7699441964285714,0.05462778909222178,0.5,0.02,4,lgb,lgb_weight
